order_id,order_date,region,channel,product,customer_type,quantity,unit_price,revenue,discount_rate,payment_status,note
SO-1001,2026-05-01,华东,线上,数据分析服务,新客户,2,1999,3998,0.00,已支付,标准订单
SO-1002,2026-05-01,华南,线下,报表模板包,老客户,5,299,1495,0.10,已支付,批量采购
SO-1003,2026-05-02,华北,线上,数据清洗服务,新客户,1,1299,1299,0.00,待支付,首次试用
SO-1004,2026-05-02,西南,渠道,AI 洞察报告,老客户,3,899,2697,0.15,已支付,渠道折扣
SO-1005,2026-05-03,华东,线上,报表模板包,老客户,4,299,1196,0.05,已支付,
SO-1006,2026-05-03,华中,线下,数据分析服务,新客户,1,1999,1999,0.00,失败,支付失败待跟进
SO-1007,2026-05-04,华南,线上,AI 洞察报告,新客户,2,899,1798,0.00,已支付,活动订单
SO-1008,2026-05-04,华北,渠道,数据清洗服务,老客户,6,1299,7794,0.20,已支付,大客户折扣
SO-1009,2026-05-05,西北,线上,报表模板包,新客户,3,299,897,0.00,待支付,等待付款
SO-1010,2026-05-05,华东,线下,数据分析服务,老客户,2,1999,3998,0.12,已支付,复购订单
SO-1011,2026-05-06,华南,线上,数据清洗服务,老客户,2,1299,2598,0.08,已支付,复购订单
SO-1012,2026-05-06,华中,渠道,AI 洞察报告,新客户,1,899,899,0.00,已支付,渠道新客
SO-1013,2026-05-07,华东,线上,数据分析服务,新客户,2,1999,3998,0.00,已支付,标准订单
SO-1013,2026-05-07,华东,线上,数据分析服务,新客户,2,1999,3998,0.00,已支付,标准订单
